,Datum,Song,Interpret
0,"24.09.2021,13.38 Uhr",Luka,Suzanne Vega
1,"24.09.2021,13.45 Uhr",Kiss me,Rea Garvey
2,"24.09.2021,13.49 Uhr",Habit,Laurell
3,"24.09.2021,13.54 Uhr",Outnumbered,Dermot Kennedy
4,"24.09.2021,14.06 Uhr",Manana,Alvaro Soler feat. Cali Y El Dandee
5,"24.09.2021,14.09 Uhr",A thousand miles,Vanessa Carlton
6,"24.09.2021,14.17 Uhr",Someone to you,Banners
7,"24.09.2021,14.20 Uhr",Take on me,a-ha
8,"24.09.2021,14.25 Uhr",Stay,The Kid LAROI & Justin Bieber
9,"24.09.2021,14.35 Uhr",Throwback,Michael Patrick Kelly
10,"24.09.2021,14.37 Uhr",Gangsta's paradise,Coolio
11,"24.09.2021,14.46 Uhr",Galway girl,Ed Sheeran
12,"24.09.2021,14.49 Uhr",Let's love,David Guetta feat. Sia
13,"24.09.2021,14.52 Uhr",Careless whisper,George Michael
14,"24.09.2021,15.05 Uhr",Iko iko,Justin Wellington feat. Small Jam
15,"24.09.2021,15.08 Uhr",194 Länder,Mark Forster
16,"24.09.2021,15.12 Uhr",Angels,Robbie Williams
17,"24.09.2021,15.18 Uhr",Friendships (Lost My Love),Pascal Letoublon feat. Leony
18,"24.09.2021,15.21 Uhr",Watermelon sugar,Harry Styles
19,"24.09.2021,15.35 Uhr",Head & Heart,Joel Corry & MNEK
20,"24.09.2021,15.38 Uhr",Sick and tired,Anastacia
21,"24.09.2021,15.41 Uhr",Girls like us,Zoe Wees
22,"24.09.2021,15.46 Uhr",Sucker,Jonas Brothers
23,"24.09.2021,15.49 Uhr",She's like the wind,Patrick Swayze
24,"24.09.2021,15.54 Uhr",Blinding lights,The Weeknd
25,"24.09.2021,16.06 Uhr",Midnight sky,Miley Cyrus
26,"24.09.2021,16.09 Uhr",Stars,Simply Red
27,"24.09.2021,16.13 Uhr",Cover me in sunshine,Pink
28,"24.09.2021,16.19 Uhr",Dance with somebody,Mando Diao
29,"24.09.2021,16.23 Uhr",Love again,Dua Lipa
30,"24.09.2021,16.35 Uhr",Following The Sun,SUPER-Hi x Neeka
31,"24.09.2021,16.37 Uhr",Through the barricades,Spandau Ballet
32,"24.09.2021,16.45 Uhr",Jerusalema,Master KG feat. Nomcebo Zikode
33,"24.09.2021,16.48 Uhr",Auf anderen Wegen,Andreas Bourani
34,"24.09.2021,16.53 Uhr",My Universe,Coldplay X BTS
35,"24.09.2021,17.05 Uhr",Salt,Ava Max
36,"24.09.2021,17.08 Uhr",It's my life,Dr. Alban
37,"24.09.2021,17.12 Uhr",I Need You To Hate Me,JC Stewart
38,"24.09.2021,17.19 Uhr",Friends,Aura Dione Feat. Rock Mafia
39,"24.09.2021,17.23 Uhr",Good 4 U,Olivia Rodrigo
40,"24.09.2021,17.35 Uhr",Bad Habits,Ed Sheeran
41,"24.09.2021,17.39 Uhr",Bad day,Daniel Powter
42,"24.09.2021,17.42 Uhr",One more time,Robin Schulz & Felix Jaehn feat. Alida
43,"24.09.2021,17.47 Uhr",Roundabouts,Michael Patrick Kelly
44,"24.09.2021,17.50 Uhr",Rock me Amadeus,Falco
45,"24.09.2021,17.54 Uhr",Underdog,Alicia Keys
46,"24.09.2021,18.06 Uhr",Faded Love,Leony
47,"24.09.2021,18.08 Uhr",West end girls,Pet Shop Boys
48,"24.09.2021,18.12 Uhr",Alles okay,Johannes Oerding
